H3,s1,s2,angle,velocity ratio prob 0 to prob 1,velocity ratio prob 0 to prob 2,velocity ratio prob 0 to prob 3,velocity ratio prob 1 to prob 0,velocity ratio prob 1 to prob 2,velocity ratio prob 1 to prob 3,velocity ratio prob 2 to prob 0,velocity ratio prob 2 to prob 1,velocity ratio prob 2 to prob 3,velocity ratio prob 3 to prob 0,velocity ratio prob 3 to prob 1,velocity ratio prob 3 to prob 2
6.0,0.01,0.33,20.0,1.1760550319502285,0.8524500009165734,0.6312345874527725,0.8503003455048528,0.7248385303049745,0.5367389878057057,1.1730893294912048,1.379617608875251,0.7404945589466302,1.584197095465428,1.8631029657230531,1.350448815481537
6.0,0.01,0.33,30.0,1.1622726309094762,0.8682440136830102,0.6532251146209644,0.8603833329685323,0.7470226783225643,0.5620240012963369,1.151749950751855,1.3386474454102182,0.7523519935945706,1.5308658188689708,1.7792834428662283,1.3291650829849233
6.0,0.01,0.33,40.0,1.142849823668548,0.8900992930441665,0.6858457643881667,0.8750056037896561,0.7788418693428569,0.600118887175046,1.1234701654238706,1.2839576804515451,0.7705272543724346,1.4580537664938207,1.6663364899367255,1.297812626776534
6.0,0.01,0.33,50.0,1.1200533379215416,0.91887218575764,0.7309439195144819,0.8928146242175199,0.8203825252311384,0.6525974208254032,1.0882906409616344,1.2189435650378526,0.7954794266754248,1.3680940128269135,1.5323382656572608,1.2571035358882068
6.0,0.01,0.33,60.0,1.0978682086537377,0.9539082684905503,0.7891398090680227,0.910856141126676,0.8688732044261319,0.718792841297141,1.0483188300510116,1.1509159160460862,0.8272701213888682,1.2672025774254172,1.3912214236794422,1.2087950164586423
6.0,0.01,0.33,70.0,1.0987725254635676,1.1222192584689252,0.8731106330287288,0.9101064841224566,1.021339023739664,0.7946236484757089,0.8910914622551815,0.9791068164011492,0.7780214306961172,1.1453302275464283,1.2584573866109514,1.285311638659198
6.0,0.01,0.33,80.0,1.0937286768810868,1.1577258955622884,0.947978832077544,0.9143035390199638,1.0585128835276572,0.8667404010845104,0.8637623152709359,0.9447216142210249,0.8188283908231372,1.0548758750324088,1.1537479950729748,1.221257117128948
6.0,0.01,0.33,89.0,1.4908148738080302,1.6627082539096125,1.3727802682579782,0.670774096481659,1.1153016267288172,0.9208254441085947,0.6014284211608669,0.8966184357975007,0.8256290693391871,0.7284486986901215,1.0859821548133373,1.2111976638617812
6.0,0.1,0.33,0.0,1.090657385815233,0.8380738414898223,0.6307175828787244,0.916878217674683,0.7684116500649631,0.5782912132459289,1.1932122809397387,1.3013857870523668,0.7525799656955213,1.5854956753160345,1.7292325684615437,1.3287624512776093
6.0,0.1,0.33,10.0,1.0912718627950417,0.8414310809483803,0.6342879702587554,0.9163619388469617,0.7710554167439525,0.5812373542136171,1.1884514639902488,1.2969236429501332,0.7538204668454213,1.576570969164138,1.7204675383483332,1.3265758147756161
6.0,0.1,0.33,20.0,1.092176291184009,0.8516519098288355,0.6460934455945383,0.9156031018727918,0.779775130355169,0.5915651628860391,1.1741886426356742,1.2824209968642164,0.7586355858984568,1.5477637280158372,1.690430848093472,1.318155934928486
6.0,0.1,0.33,30.0,1.0933236045238963,0.8689348820756085,0.666909977834946,0.914642285104111,0.7947645861483058,0.6099840660856871,1.1508342231713828,1.2582342210871944,0.7675028262669242,1.4994527495995729,1.6393870850054726,1.3029267981512518
6.0,0.1,0.33,40.0,1.0941440598690364,0.8929585722923575,0.6978359234793233,0.9139564310386102,0.8161252297976559,0.6377916300736951,1.1198727813686262,1.2253021515434985,0.7814874565657337,1.4330016073321705,1.567910196445276,1.2796110693759886
6.0,0.1,0.33,70.0,1.1155355156057856,1.0147552335801417,0.9039207179848703,0.8964304461942257,0.9096574868161722,0.8103020525473822,0.9854593175853018,1.0993148679510452,0.8907770938965863,1.106291713535808,1.2341076970695755,1.122615306176804
6.0,0.1,0.33,80.0,1.123390032199356,1.0792068388712837,0.9898768725472812,0.8901627852636499,0.9606697655652409,0.8811515539347587,0.92660643352286,1.0409404311913761,0.9172262784977988,1.0102266531661344,1.1348785524289513,1.0902435129069405
6.0,0.1,0.33,89.0,1.1391184444672189,1.183476914141903,1.0581225281049598,0.8778718357665726,1.038941051205111,0.9288959662134678,0.8449678975994765,0.962518517138252,0.8940795679754909,0.9450701345438187,1.07654682157398,1.1184686864775917
6.0,0.01,0.25,0.0,1.1817840892044602,0.9934497204747026,inf,0.8461782563625209,0.8406355522551175,inf,1.0065934685875875,1.1895761454739404,inf,0.0,0.0,0.0
