H3,s1,s2,angle,velocity direction prob 0,velocity direction prob 1,velocity direction prob 2,velocity direction prob 3
6.0,0.01,0.25,89.0,88.18888458928392,87.70397161347911,87.1018218389561,nan
6.0,0.01,0.25,0.0,-1.0801287085326235e-05,7.542697257093929e-05,0.00010158183443685811,1.9288387988838864e-05
6.0,0.01,0.25,10.0,8.665835771628853,9.062669107026398,7.445980127829466,6.013282287599168
6.0,0.01,0.25,20.0,17.46184768706308,18.24158616128534,15.096873784127101,12.166810308208966
6.0,0.01,0.25,30.0,26.514778435893792,27.607672700388218,23.145517631133984,18.737139524049628
6.0,0.01,0.25,40.0,35.938711262031624,37.258298437135046,31.829714132607457,26.080066755663196
6.0,0.01,0.25,50.0,45.81660005534926,47.21384779416772,41.339364189621065,34.6216944333938
6.0,0.01,0.25,60.0,56.17725315068863,57.46973603068928,51.83949833706306,44.87718817216021
6.0,0.01,0.25,70.0,67.06258053322637,67.57759052657121,63.536697896757914,57.5925434101728
6.0,0.01,0.25,80.0,78.17706801282236,78.44727277472126,76.07623591718438,72.45954205473348
6.0,0.01,0.25,89.0,88.20033454315642,87.70397161347911,87.2186480317413,86.5424870891482
